,filename,callname,pods,matrilines,pods_category,html
0,BCS05-Jpod,BCS05,Jpod,,['J'],"<figure>
    <img src=""BCS05-Jpod.jpg""/>
    Pod: Jpod
</figure>"
1,"BCS05-J01pod-J02,J07,J08andJ09mat-2",BCS05,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS05-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
2,"BCS05-J01pod-J02,J07,J08andJ09mat-1",BCS05,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS05-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
3,BCS18-K01pod-2,BCS18,K01pod,2,['K'],"<figure>
    <img src=""BCS18-K01pod-2.jpg""/>
    Pod: K01pod
</figure>"
4,BCS22-Lpod,BCS22,Lpod,,['L'],"<figure>
    <img src=""BCS22-Lpod.jpg""/>
    Pod: Lpod
</figure>"
5,"BCS09-J01pod-J02,J07,J08andJ09mat-1",BCS09,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS09-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
6,BCS40-Lpod,BCS40,Lpod,,['L'],"<figure>
    <img src=""BCS40-Lpod.jpg""/>
    Pod: Lpod
</figure>"
7,BCS12-Jpod,BCS12,Jpod,,['J'],"<figure>
    <img src=""BCS12-Jpod.jpg""/>
    Pod: Jpod
</figure>"
8,"BCS02iii-L01pod-JL04,L09,L26andL37mat-1",BCS02iii,L01pod,"JL04,L09,L26andL37mat-1",['L'],"<figure>
    <img src=""BCS02iii-L01pod-JL04,L09,L26andL37mat-1.jpg""/>
    Pod: L01pod
</figure>"
9,"BCS44-J01pod-J02,J07,J08andJ09mat-1",BCS44,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS44-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
10,"BCS08i-J01pod-J02,J07,J08andJ09mat-1",BCS08i,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS08i-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
11,"BCS42-J01pod-J02,J07,J08andJ09mat-2",BCS42,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS42-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
12,BCS36-Lpod,BCS36,Lpod,,['L'],"<figure>
    <img src=""BCS36-Lpod.jpg""/>
    Pod: Lpod
</figure>"
13,BCS41-Jpod,BCS41,Jpod,,['J'],"<figure>
    <img src=""BCS41-Jpod.jpg""/>
    Pod: Jpod
</figure>"
14,BCS37ii-Lpod,BCS37ii,Lpod,,['L'],"<figure>
    <img src=""BCS37ii-Lpod.jpg""/>
    Pod: Lpod
</figure>"
16,"BCS12-J01pod-J02,J07,J08andJ09mat-1",BCS12,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS12-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
18,"BCS01-J01pod-J02,J07,J08andJ09mat-1",BCS01,J01pod,"J02,J07,J08andJ09mat-1",['J'],"<figure>
    <img src=""BCS01-J01pod-J02,J07,J08andJ09mat-1.jpg""/>
    Pod: J01pod
</figure>"
19,BCS07-J01pod-1,BCS07,J01pod,1,['J'],"<figure>
    <img src=""BCS07-J01pod-1.jpg""/>
    Pod: J01pod
</figure>"
20,BCS17-K01andL01pods-2,BCS17,K01andL01pods,2,"['K', 'L']","<figure>
    <img src=""BCS17-K01andL01pods-2.jpg""/>
    Pod: K01andL01pods
</figure>"
21,BCS36-K01andL01pods,BCS36,K01andL01pods,,"['K', 'L']","<figure>
    <img src=""BCS36-K01andL01pods.jpg""/>
    Pod: K01andL01pods
</figure>"
22,BCS37i-Jpod,BCS37i,Jpod,,['J'],"<figure>
    <img src=""BCS37i-Jpod.jpg""/>
    Pod: Jpod
</figure>"
23,BCS14-Jpod,BCS14,Jpod,,['J'],"<figure>
    <img src=""BCS14-Jpod.jpg""/>
    Pod: Jpod
</figure>"
24,BCS02ii-Jpod,BCS02ii,Jpod,,['J'],"<figure>
    <img src=""BCS02ii-Jpod.jpg""/>
    Pod: Jpod
</figure>"
25,"BCS44-J01pod-J02,J07,J08andJ09mat-2",BCS44,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS44-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
26,BCS02iii-Lpod,BCS02iii,Lpod,,['L'],"<figure>
    <img src=""BCS02iii-Lpod.jpg""/>
    Pod: Lpod
</figure>"
28,BCS16-K01andL01pods-2,BCS16,K01andL01pods,2,"['K', 'L']","<figure>
    <img src=""BCS16-K01andL01pods-2.jpg""/>
    Pod: K01andL01pods
</figure>"
29,"BCS37i-J01pod-J02,J07,J08andJ09mat-2",BCS37i,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS37i-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
30,BCS16-KandLpods,BCS16,KandLpods,,"['K', 'L']","<figure>
    <img src=""BCS16-KandLpods.jpg""/>
    Pod: KandLpods
</figure>"
32,"BCS13i-J01pod-J02,J07,J08andJ09mat-2",BCS13i,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS13i-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
33,"BCS09-J01pod-J02,J07,J08andJ09mat-2",BCS09,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS09-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
34,"BCS12-J01pod-J02,J07,J08andJ09mat-2",BCS12,J01pod,"J02,J07,J08andJ09mat-2",['J'],"<figure>
    <img src=""BCS12-J01pod-J02,J07,J08andJ09mat-2.jpg""/>
    Pod: J01pod
</figure>"
